No. Control,Semestre,Cr. Apr.,Carga,Promedio
10040001,8,154,23,83.24
10040002,8,193,32,88.19
10040003,1,,27,0
10040004,2,22,28,82.4
10040005,5,77,28,81.59
10040006,1,,27,0
10040007,2,17,28,78
10040008,1,,27,0
10040009,3,50,27,90
10040010,1,,27,0
10040011,7,160,34,85.8
10040012,9,227,8,87.61
10040013,1,,27,0
10040014,5,110,27,82.42
10040015,7,169,35,88.49
10040016,7,132,27,85.38
10040017,6,108,22,81.33
10040018,1,,27,0
10040019,1,,27,0
10040020,14,204,22,78.84
10040021,3,55,31,95.67
10040022,1,,27,0
10040023,3,55,31,93.17
10040024,11,187,21,84.88
10040025,2,22,28,78.4
10040026,1,,27,0
10040027,7,153,24,84.82
10040028,7,170,34,87.54
10040029,10,150,17,81.64
10040030,2,22,24,84.6
10040031,8,209,31,91.09
10040032,1,,27,0
10040033,11,202,23,83.68
10040034,9,230,10,88.58
10040035,6,98,34,84.09
10040036,2,22,24,83.4
10040037,4,63,28,79.43
10040038,6,119,32,89.38
10040039,8,189,32,86.24
10040040,1,,27,0
10040041,3,55,27,91.83
10040042,2,22,28,80.6
10040043,3,9,19,72.5
10040044,2,17,28,76
10040045,6,103,30,79.36
10040046,1,,27,0
10040047,7,101,32,77.82
10040048,3,25,10,81
10040049,8,152,31,82.12
10040050,6,108,33,82.54
10040051,2,27,28,88.17
10040052,3,55,27,88.25
10040053,2,17,24,78
10040054,11,205,30,79.04
10040055,8,208,27,88.24
10040056,7,178,32,92.79
10040057,5,110,27,94.38
10040058,7,165,29,81.44
10040059,1,,27,0
10040060,7,175,34,96.79
10040061,6,90,19,77.8
10040062,1,,27,0
10040063,9,235,5,91.9
10040064,2,22,28,82.2
10040065,8,170,28,81.43
10040066,2,22,28,89
10040067,1,,27,0
10040068,13,205,25,78.45
10040069,3,55,26,88.5
10040070,5,91,22,81
10040071,9,155,24,82.32
10040072,3,35,33,85.38
10040073,6,122,28,80.67
10040074,5,105,22,78.83
10040075,5,101,27,84.91
10040076,5,90,33,78.8
10040077,10,156,21,85.88
10040078,5,106,27,81.26
10040079,4,54,23,83.33
10040080,3,55,27,95.92
10040081,1,,27,0
10040082,4,72,28,82.31
10040083,4,35,10,82.75
10040084,1,,27,0
10040085,9,222,13,86.75
10040086,1,,27,0
10040087,3,55,27,95.33
10040088,6,123,27,86.59
10040089,5,105,32,79.96
10040090,1,,27,0
10040091,12,161,23,80.06
10040092,2,22,28,90.8
10040093,11,135,28,87.97
10040094,9,104,31,80.13
10040095,8,205,31,86.68
10040096,4,77,28,82.47
10040097,10,196,10,84.42
10040098,12,245,5,86.88
10040099,1,,27,0
10040100,4,30,19,80
10040101,2,13,19,78.33
10040102,3,55,27,84.75
10040103,14,201,9,80.61
10040104,9,196,29,84.79
10040105,2,22,28,76.6
10040106,5,110,27,83.25
10040107,2,22,28,82
10040108,3,55,31,90.67
10040109,1,,27,0
10040110,4,,27,0
10040111,2,22,28,83.8
10040112,1,,27,0
10040113,6,141,29,91.48
10040114,2,22,28,84.2
10040115,2,27,28,82
10040116,4,50,20,84
10040117,1,,27,0
10040118,3,55,26,86.75
10040119,7,132,23,80.1
10040120,5,46,33,78.3
10040121,8,214,22,92.3
10040122,9,155,28,83.56
10040123,1,,27,0
10040124,9,224,16,93.24
10040125,5,105,32,84.65
10040126,1,,27,0
10040127,7,156,27,87.82
10040128,8,156,28,84.5
10040129,2,22,28,83.6
10040130,1,,27,0
10040131,5,110,27,86.79
10040132,4,23,19,71.4
10040133,3,55,27,83.42
10040134,2,22,28,86.4
10040135,4,73,28,84
10040136,7,74,22,78.31
10040137,2,17,28,81.5
10040138,2,18,28,78.25
10040139,9,206,29,80.51
10040140,3,45,27,82.4
10040141,8,212,14,88.24
10040142,1,,27,0
10040143,6,141,29,93.32
10040144,7,175,34,90.32
10040145,2,22,28,88
10040146,9,173,27,82.92
10040147,9,145,26,82.19
10040148,1,,27,0
10040149,2,17,28,85
10040150,5,110,27,86.42
10040151,8,194,31,87.21
10040152,6,62,33,79.43
10040153,7,155,29,87.44
10040154,2,27,28,78.83
10040155,5,73,19,80.63
10040156,1,,27,0
10040157,1,,27,0
10040158,5,89,27,86.32
10040159,6,119,31,80.69
10040160,14,244,6,79.75
10040161,2,27,28,82.17
10040162,2,22,28,87.2
10040163,9,215,10,89.34
10040164,1,,27,0
10040165,2,17,28,77.75
10040166,5,53,19,84.08
10040167,10,132,27,83.24
10040168,5,101,32,82.23
10040169,4,81,28,80.28
10040170,7,142,23,82.84
10040171,7,129,33,82.46
10040172,7,183,32,91.2
10040173,5,87,27,80
10040174,2,22,28,80
10040175,10,234,6,84.18
10040176,1,,27,0
10040177,1,,27,0
10040178,5,105,27,84.39
10040179,7,106,25,79.39
10040180,9,128,32,81.93
10040181,12,221,19,80.48
10040182,2,22,23,79.6
10040183,8,99,20,84.18
10040184,10,225,10,90.69
10040185,3,41,31,79.67
10040186,3,,27,0
10040187,5,105,27,83.74
10040188,4,91,29,82.1
10040189,5,96,27,80.33
10040190,11,250,10,82.47
10040191,5,105,27,86.22
10040192,3,55,27,83.33
10040193,7,149,28,85.09
10040194,2,81,26,80.18
10040195,12,192,24,81.52
10040196,5,86,26,84.05
10040197,5,105,27,82.35
10040198,2,27,28,84.33
10040199,7,166,28,90.69
10040200,7,159,29,89.54
10040201,8,204,27,89.02
10040202,11,217,18,81.96
10040203,5,71,28,83.87
10040204,5,96,27,80.52
10040205,4,68,23,80.93
10040206,2,22,28,80.6
10040207,4,26,19,82.67
10040208,9,195,18,83.29
10040209,3,55,26,93.83
10040210,12,220,20,83.81
10040211,7,150,23,85.42
10040212,7,175,34,91.89
10040213,5,110,27,89.83
10040214,1,,27,0
10040215,9,225,10,85.2
10040216,2,27,28,90.5
10040217,1,,27,0
10040218,9,231,4,93.28
10040219,7,165,29,84.56
10040220,3,36,22,83.5
10040221,10,166,21,79.17
10040222,1,,27,0
10040223,9,186,24,88.56
10040224,8,217,19,88.66
10040225,11,186,25,81.41
10040226,1,,27,0
10040227,2,27,28,85
10040228,1,,27,0
10040229,1,,27,0
10040230,7,132,28,80.76
10040231,1,,27,0
10040232,2,27,28,85.83
10040233,2,22,28,84
10040234,7,155,27,83.76
10040235,2,27,28,89
10040236,9,224,16,93.27
10040237,9,146,23,84.34
10040238,4,59,29,81.77
10040239,9,223,8,89.69
10040240,5,95,32,81.71
10040241,7,165,28,89.56
10040242,3,50,22,82.91
10040243,12,187,25,79.76
10040244,2,27,23,84.17
10040245,6,104,27,84.26
10040246,7,158,29,81.34
10040247,3,55,27,91.08
10040248,7,175,34,92.74
10040249,7,175,34,89.71
10040250,11,240,5,85.24
10040251,2,22,28,80.4
10040252,1,,27,0
10040253,7,160,34,85.4
10040254,2,22,28,81
10040255,5,110,27,83.17
10040256,3,50,27,90.27
10040257,1,,27,0
10040258,2,22,33,85.4
10040259,3,55,27,90.67
10040260,1,,27,0
10040261,11,211,25,80.85
10040262,2,22,28,80
10040263,12,245,5,83.71
10040264,2,17,23,81.75
10040265,8,141,33,78.45
10040266,9,193,23,87.81
10040267,2,22,33,82.4
10040268,3,55,27,93.08
10040269,1,,27,0
10040270,3,32,31,84.86
10040271,1,,27,0
10040272,3,45,31,86.4
10040273,1,,27,0
10040274,5,97,26,80.29
10040275,2,18,28,79.5
10040276,2,17,28,82.25
10040277,7,151,34,81.52
10040278,1,,27,0
10040279,11,225,10,86.33
10040280,6,141,29,90.06
10040281,8,209,27,91.38
10040282,4,82,28,83.44
10040283,7,148,28,79.16
10040284,10,149,33,78.52
10040285,8,141,22,84.52
10040286,10,118,32,76.81
10040287,5,105,27,84
10040288,9,170,28,88.14
10040289,12,192,33,80.31
10040290,2,27,28,82.83
10040291,7,164,33,84.03
10040292,8,204,27,88.55
10040293,6,114,27,84.8
10040294,1,,27,0
10040295,1,,27,0
10040296,9,202,23,87.43
10040297,9,174,22,87.32
10040298,4,82,28,81.22
10040299,3,36,22,78.25
10040300,1,,27,0
10040301,4,73,28,80.5
10040302,1,,27,0
10040303,1,,27,0
10040304,12,189,23,80.51
10040305,7,96,27,80.57
10040306,8,174,34,84.26
10040307,5,105,27,81.91
10040308,6,136,27,84.47
10040309,8,49,22,80.09
10040310,1,,27,0
10040311,1,,27,0
10040312,1,,27,0
10040313,7,159,30,84.77
10040314,3,50,27,90.73
10040315,2,22,28,82
10040316,7,160,29,87.86
10040317,3,55,27,92.83
10040318,2,17,24,85
10040319,1,,27,0
10040320,7,160,34,89.74
10040321,5,110,27,90.71
10040322,5,110,27,79.58
10040323,1,,27,0
10040324,2,22,28,82.8
10040325,5,96,32,81.9
10040326,1,,27,0
10040327,11,225,10,83.86
10040328,5,22,19,82.6
10040329,7,97,33,81.81
10040330,6,87,32,80.95
10040331,5,105,27,86.26
10040332,2,0,24,0
10040333,9,186,34,87
10040334,3,55,27,91.58
10040335,2,22,28,81.6
10040336,2,17,28,83
10040337,7,170,34,85.3
10040338,3,55,27,83.42
10040339,2,17,24,78.75
10040340,4,72,23,83.44
10040341,1,,27,0
10040342,7,170,34,89.16
10040343,10,208,32,81.62
10040344,1,,27,0
10040345,6,113,33,82.12
10040346,4,9,9,75.5
10040347,1,,27,0
10040348,3,41,22,81
10040349,7,175,34,90.82
10040350,7,170,34,92.78
10040351,11,239,11,83.53
10040352,2,22,28,81.2
10040353,4,82,28,83.39
10040354,6,141,29,95.74
10040355,2,22,28,80.4
10040356,1,,27,0
10040357,3,40,27,79.44
10040358,4,78,32,82.47
10040359,2,27,28,89.5
10040360,4,50,17,75.55
10040361,11,164,23,83.56
10040362,4,72,33,82.13
10040363,6,113,33,81.64
10040364,7,145,29,87.38
10040365,2,18,28,82
10040366,1,,27,0
10040367,1,,27,0
10040368,1,,27,0
10040369,5,110,27,84.42
10040370,1,,27,0
10040371,1,,27,0
10040372,10,195,24,82.95
10040373,5,110,27,87.25
10040374,5,100,32,85
10040375,3,55,27,86.17
10040376,7,100,22,81.77
10040377,1,,27,0
10040378,4,34,18,76.38
10040379,2,18,28,76.5
10040380,7,160,29,87.66
10040381,7,154,30,86.26
10040382,6,59,32,76.69
10040383,4,73,28,79.13
10040384,6,104,23,84.78
10040385,6,138,28,85.77
10040386,7,174,30,90
10040387,3,55,27,84.58
10040388,8,192,23,86.14
10040389,8,113,22,80.72
10040390,8,151,34,84.06
10040391,8,174,30,85.32
10040392,13,230,5,75.5
10040393,2,17,28,75.75
10040394,7,145,28,82.97
10040395,3,45,27,80.4
10040396,5,64,31,77.07
10040397,1,,27,0
10040398,8,141,19,84.13
10040399,2,13,20,76.33
10040400,5,74,27,81.38
10040401,12,192,18,80.93
10040402,5,114,27,88.08
10040403,3,55,27,93
10040404,5,105,27,82.26
10040405,1,,27,0
10040406,7,165,35,91.69
10040407,5,105,27,82.3
10040408,5,110,27,91.58
10040409,7,170,25,87.78
10040410,7,80,33,79.44
10040411,7,173,34,94.45
10040412,6,81,33,78.28
10040413,3,55,26,92.17
10040414,8,226,5,93.69
10040415,5,105,28,80.96
10040416,2,22,28,85.8
10040417,10,142,30,77.61
10040418,5,73,33,82.94
10040419,3,40,27,85.11
10040420,5,110,27,86.83
10040421,1,,27,0
10040422,5,100,28,82.82
10040423,11,164,23,82.69
10040424,3,55,27,91.83
10040425,7,160,29,89.23
10040426,8,188,33,86.07
10040427,8,181,27,87.15
10040428,9,219,16,90.35
10040429,5,86,27,81.32
10040430,3,32,17,81.71
10040431,3,55,26,93.75
10040432,2,27,23,81
10040433,7,155,27,86
10040434,4,58,29,79.54
10040435,10,235,5,88.49
10040436,8,183,29,80.72
10040437,1,,27,0
10040438,5,77,33,87
10040439,7,101,27,81
10040440,8,179,28,83.46
10040441,5,105,27,83.61
10040442,10,181,29,84.5
10040443,8,209,27,90.29
10040444,10,213,27,80.11
10040445,7,165,28,84.94
10040446,1,,27,0
10040447,7,146,23,86.13
10040448,7,164,30,91.17
10040449,6,101,27,84
10040450,1,,27,0
10040451,2,22,28,78.2
10040452,14,244,6,79.88
10040453,1,,27,0
10040454,3,55,27,83.58
10040455,5,81,27,82.72
10040456,10,236,4,86.43
10040457,11,137,22,76.7
10040458,1,,27,0
10040459,1,,27,0
10040460,4,72,28,79.44
10040461,2,22,28,80.4
10040462,11,230,5,84.26
10040463,4,54,19,77.83
10040464,5,110,27,86.29
10040465,6,100,27,79.32
10040466,6,95,27,80.62
10040467,3,55,27,87.92
10040468,7,175,34,90.03
10040469,11,202,29,82.43
10040470,2,22,23,83.2
10040471,3,50,27,86
10040472,4,73,28,82.44
